year,salary_to_total_compensation
2008,1.3920630018529958
2009,1.3971577017114913
2010,1.3993593166043778
2011,1.403623515260863
2012,1.4121248320143347
2013,1.4156933213536986
2014,1.4295872736602888
2015,1.4269711331322708
2016,1.4269276643513646
2017,1.4306123817828156
2018,1.4275092936802973
2019,1.4300918593601522
