year,ti_coe,gos_coe,top_coe
2008,0.6723882093442952,0.18707974065904687,0.00931755898669875
2009,0.6154884392867559,0.2564653856849273,0.009983789906334145
2010,0.6534447164396607,0.2706941843445803,0.009747087059064153
2011,0.6180173274800826,0.27838942698534364,0.0085476041158572
2012,0.5293207312006647,0.28566680515164106,0.007566472787702535
2013,0.5263269886464387,0.26564597761712,0.007579173485051904
2014,0.5235889012125552,0.21794637801208344,0.008035342402927729
2015,0.41300345224395857,0.18843711375356945,0.007552316413075907
2016,0.41666463677035376,0.21155985352268206,0.007603991588109679
2017,0.4057257242134683,0.2015107451750576,0.00744419685009631
2018,0.4130381553357306,0.2023862825481664,0.007030823690727708
2019,0.3711816720257235,0.19792422985167513,0.006738797842547453
