year,naics,top_coe,ii_coe,gos_coe,enepsi_coe
2008,11,-0.03800475059382423,5.403800475059382,2.534441805225653,2.0522565320665085
2008,111CA,-0.12451361867704282,8.190661478599223,3.77431906614786,3.0972762645914393
2008,113FF,0.09696969696969697,1.0303030303030303,0.5878787878787879,0.4121212121212121
2008,21,0.5824175824175825,3.046703296703297,3.8035714285714284,1.4615384615384617
2008,211,1.315018315018315,4.278388278388278,7.6300366300366305,1.5347985347985347
2008,212,0.28,3.137142857142857,2.217142857142857,1.7028571428571428
2008,213,0.05714285714285715,1.7892857142857144,1.0642857142857143,1.2392857142857143
2008,22,0.8069381598793364,4.271493212669683,1.8386123680241329,4.17948717948718
2008,23,0.017976492279327034,1.4448029499884767,0.47729891680110625,0.3957132979949297
2008,311FT,0.24506387921022071,6.730545876887341,1.0685249709639955,0.9094076655052267
2008,313TT,0.05185185185185185,2.8666666666666667,0.2740740740740741,0.5555555555555556
2008,315AL,0.02857142857142857,1.438095238095238,0.0761904761904762,0.4095238095238095
2008,31G,0.07017920377722932,3.9627642450906753,0.8622169760703938,0.6595128232642988
2008,31ND,0.1254740834386852,6.3388116308470295,1.406447534766119,0.8625158027812895
2008,321,0.0330188679245283,2.9952830188679247,0.17452830188679247,0.5471698113207547
2008,322,0.057692307692307696,4.038461538461538,0.5865384615384616,0.9198717948717949
2008,323,0.027863777089783284,1.6718266253869971,0.3746130030959752,0.498452012383901
2008,324,0.17177914110429446,35.52147239263804,8.306748466257668,0.7852760736196319
2008,325,0.1189376443418014,5.431870669745958,1.9445727482678985,1.1581986143187066
2008,326,0.042499999999999996,3.5725000000000002,0.36,0.625
2008,327,0.046762589928057555,2.5071942446043165,0.5611510791366906,0.8489208633093526
2008,331,0.06969696969696969,6.409090909090909,1.0151515151515151,1.1181818181818184
2008,332,0.032044198895027624,2.4828729281767954,0.4386740331491713,0.5480662983425415
2008,333,0.03800475059382423,2.6413301662707838,0.5261282660332541,0.495249406175772
2008,334,0.054602184087363496,1.4914196567862714,0.7558502340093605,0.4196567862714509
2008,335,0.03236245954692557,2.313915857605178,0.7637540453074434,0.36893203883495146
2008,3361MV,0.04709576138147566,5.255886970172685,0.3704866562009419,0.434850863422292
2008,3364OT,0.03367496339677892,2.2664714494875553,0.6442166910688141,0.6456808199121523
2008,337,0.018018018018018018,2.211711711711712,0.23873873873873874,0.5405405405405406
2008,339,0.035164835164835165,2.068131868131868,0.6241758241758242,0.6417582417582418
2008,33DG,0.04191714053614947,2.741348497156783,0.5824532900081235,0.5551584077985378
2008,42,0.3945375258205187,1.0162956162497132,0.6352995180169843,0.9033738811108561
2008,441,0.35516093229744733,0.44506104328523866,0.2475027746947836,0.3340732519422863
2008,445,0.24193548387096775,0.8200992555831266,0.34739454094292804,0.6712158808933002
2008,44RT,0.3565581952485526,0.8556598123377921,0.3377919744459972,0.7450588939908167
2008,452,0.4680851063829787,0.9048811013767208,0.13892365456821024,0.8272841051314141
2008,481,0.43229166666666674,2.6770833333333335,0.3567708333333333,2.6510416666666665
2008,482,-0.014705882352941176,1.5294117647058825,0.8382352941176472,1.2205882352941178
2008,483,0.0819672131147541,5.967213114754099,1.6065573770491806,5.377049180327869
2008,484,0.04666666666666667,2.1759999999999997,0.5586666666666666,2.0373333333333337
2008,485,0.06711409395973154,1.1409395973154361,0.8187919463087248,1.0335570469798658
2008,486,0.4166666666666667,3.125,1.9791666666666667,2.6458333333333335
2008,487OS,0.03271028037383177,1.2897196261682242,0.43769470404984423,1.0669781931464175
2008,48TW,0.10211267605633803,1.8779342723004695,0.5676838810641628,1.7073552425665102
2008,493,0.01875,0.990625,0.39375,0.85625
2008,4A0,0.3583699560527367,0.9992009588493806,0.43068318018377943,0.8897323212145426
2008,51,0.17339022498060513,1.9860356865787432,1.708301008533747,1.6737781225756398
2008,511,0.04176334106728538,1.4361948955916473,1.1519721577726216,1.1334106728538282
2008,512,0.22058823529411764,1.8860294117647058,1.7132352941176472,1.7794117647058822
2008,513,0.2912280701754386,2.468421052631579,2.1421052631578945,2.101754385964912
2008,514,0.06229508196721311,1.8163934426229509,1.6491803278688524,1.501639344262295
2008,52,0.07139356314327724,1.8289495180526056,0.35517072373795133,1.8023198823721613
2008,521CI,0.076,1.4585,0.9715,1.432
2008,523,0.025357307514983864,1.6832641770401107,-0.6002766251728907,1.6556016597510372
2008,524,0.11356628982528265,1.8843782117163412,0.6808838643371018,1.8622816032887974
2008,525,1.2857142857142858,137.00000000000003,29.71428571428572,136.14285714285714
2008,53,1.9383499546690846,6.990933816863101,14.192203082502267,6.731640979147779
2008,531,2.4825436408977555,8.229426433915211,17.85286783042394,7.950124688279302
2008,532RL,0.4867549668874172,3.6788079470198674,4.4238410596026485,3.4735099337748347
2008,54,0.043547224224945925,0.78168709444845,0.5167988464311464,0.6834895457822638
2008,5411,0.14033539276257723,0.45454545454545453,0.9832303618711387,0.4315975286849073
2008,5412OP,0.02461681374825824,0.9057129586623316,0.5085926614026939,0.7710171853228054
2008,5415,0.024732620320855617,0.6724598930481284,0.18716577540106952,0.6229946524064172
2008,55,0.041610131162369966,0.7969244685662595,0.11804613297150611,0.7227498869289913
2008,56,0.03024514485832537,0.7758675581025151,0.36612543775867556,0.6074498567335244
2008,561,0.023255813953488372,0.6877564979480164,0.350547195622435,0.5571135430916553
2008,562,0.12442396313364057,1.9631336405529956,0.5760368663594471,1.2903225806451613
2008,6,0.031865828092243184,0.7482180293501047,0.21006289308176102,0.5210691823899372
