year,naics,l_w
2008,11,1.2306658878504673
2008,113,1.2555691180958193
2008,21,1.1608295738948846
2008,211,1.1752217724571528
2008,212,1.2179442629786643
2008,213,1.1148089171974522
2008,22,1.3788770776559671
2008,23,1.1911569331444822
2008,31-33,1.25941087274408
2008,33,1.2542075500534924
2008,321,1.2745274527452746
2008,327,1.2490107913669064
2008,331,1.2601939523518633
2008,332,1.2159220691971784
2008,333,1.2210669798871827
2008,334,1.2091340484344193
2008,335,1.3400616399704823
2008,3361,1.2950542969862122
2008,337,1.226505890812545
2008,339,1.3929903969661752
2008,313,1.251044083526682
2008,315,1.264947954490438
2008,322,1.2464462545919182
2008,323,1.2235584218512898
2008,324,1.50584876116791
2008,325,1.297530438949875
2008,326,1.2447924775041255
2008,42,1.1573663530993223
2008,44-45,1.208727251668573
2008,481,1.3137946382716472
2008,482,1.285651325316376
2008,483,1.261672546171405
2008,484,1.2331256063271783
2008,485,1.2032731102649274
2008,486,1.1743299729530365
2008,487,1.2035758508123522
2008,493,1.2010736944851146
2008,51,1.2043441704035875
2008,511,1.18815076333246
2008,512,1.211745833704661
2008,513,1.2144014152049276
2008,514,1.2068883704377398
2008,52,1.1835405347924441
2008,521,1.1897029773663041
2008,523,1.1617152526399213
2008,524,1.2021847119590736
2008,525,1.2273567467652495
2008,53,1.153073594883264
2008,531,1.1530673876154045
2008,532,1.1530901024934985
2008,54,1.1605754153201986
2008,5411,1.1855021815784792
2008,5415,1.1501560602100278
2008,55,1.1973347917433776
2008,56,1.1777112838453492
2008,561,1.177338036790052
2008,562,1.182758808473561
2008,61,1.1914215731413103
2008,62,1.2148706267845724
2008,621,1.2172583106628625
2008,624,1.2039331804333686
2008,71,1.1557944528058481
2008,711,1.140359710217896
2008,713,1.1720174045981067
2008,72,1.160542910722165
2008,721,1.1556665372533794
2008,722,1.1622602577966712
2008,81,1.1750323010062254
2009,11,1.256845856845857
2009,113,1.3449395341287234
2009,21,1.1769542833233277
2009,211,1.1936228138987588
2009,212,1.203969626343884
2009,213,1.1408711306696004
2009,22,1.3696204606934994
2009,23,1.1999374543938288
2009,31-33,1.2643851999878888
2009,33,1.2637486260162791
2009,321,1.2444495307850767
2009,327,1.2283102553007357
2009,331,1.2662379421221865
2009,332,1.236254007752309
2009,333,1.2423845287900936
2009,334,1.2108427585643706
2009,335,1.3939881910896403
2009,3361,1.2813451573267802
2009,337,1.225050141780206
2009,339,1.419645480364313
2009,313,1.21744485499944
2009,315,1.230118928213211
2009,322,1.226237133382144
2009,323,1.197968873648114
2009,324,1.555114763389062
2009,325,1.2955338075558083
2009,326,1.2262158703071673
2009,42,1.1598728849952762
2009,44-45,1.2052243831654812
2009,481,1.2978276877761414
2009,482,1.2922728520450177
2009,483,1.276056338028169
2009,484,1.2595939726840855
2009,485,1.2108370400323494
2009,486,1.1754847977016998
2009,487,1.223300581511931
2009,493,1.2516241299303945
2009,51,1.243882052702382
2009,511,1.221821033783684
2009,512,1.2557464538177052
2009,513,1.266826352717864
2009,514,1.2118236553925728
2009,52,1.1776801602379499
2009,521,1.1752858958068615
2009,523,1.167337469579868
2009,524,1.1896947193673886
2009,525,1.2295719844357977
2009,53,1.1835683699685984
2009,531,1.1851226226226226
2009,532,1.179322306358137
2009,54,1.1657492621002499
2009,5411,1.1864982004085558
2009,5415,1.1560941567606562
2009,55,1.1994808640729098
2009,56,1.1930714925256125
2009,561,1.1926181878091897
2009,562,1.1987853568014395
2009,61,1.2287342895035
2009,62,1.21811134950218
2009,621,1.2114180478821364
2009,624,1.217772173739921
2009,71,1.171391944668038
2009,711,1.1569287419809557
2009,713,1.1869450889404485
2009,72,1.1606052637869624
2009,721,1.1561575497418644
2009,722,1.1620735866672594
2009,81,1.1836071020453367
2010,11,1.2292694525352197
2010,113,1.27894263890969
2010,21,1.1724780906209211
2010,211,1.1881192383906263
2010,212,1.2049992817123976
2010,213,1.1351512101386283
2010,22,1.3829108748977923
2010,23,1.2064653568896657
2010,31-33,1.258172405035844
2010,33,1.25030959079079
2010,321,1.2464816416384936
2010,327,1.2347474970960783
2010,331,1.2393869019972132
2010,332,1.2138064174619732
2010,333,1.2299548370205524
2010,334,1.19161688205148
2010,335,1.3998945248825392
2010,3361,1.2596089008766014
2010,337,1.2089368482039398
2010,339,1.4070361445783133
2010,313,1.2169895346248052
2010,315,1.2277053741396984
2010,322,1.2279621054420324
2010,323,1.2062581003517867
2010,324,1.554200926188451
2010,325,1.3076209450519367
2010,326,1.227830878601313
2010,42,1.1623135695959852
2010,44-45,1.2009920580188431
2010,481,1.3202912064266246
2010,482,1.295872525621227
2010,483,1.2801963294921042
2010,484,1.2637322329206786
2010,485,1.2210133418043203
2010,486,1.1816763263486403
2010,487,1.219632337004709
2010,493,1.2434508193604805
2010,51,1.2173844903076667
2010,511,1.1884561689256006
2010,512,1.2250230152119592
2010,513,1.2451640470718666
2010,514,1.194641964869124
2010,52,1.1810266160479053
2010,521,1.1770568092018614
2010,523,1.174626491128208
2010,524,1.1910580634024241
2010,525,1.3014018691588785
2010,53,1.1795171959175323
2010,531,1.1800698760164487
2010,532,1.1779828326180257
2010,54,1.1552701804022967
2010,5411,1.1712874064165355
2010,5415,1.1452151253861131
2010,55,1.2199476954305999
2010,56,1.2012666860013952
2010,561,1.1798552319674906
2010,562,1.468700433541292
2010,61,1.2258955720458546
2010,62,1.2173135072703634
2010,621,1.210006914706489
2010,624,1.2237799211715321
2010,71,1.1654189419294227
2010,711,1.144970915457164
2010,713,1.1875573219199023
2010,72,1.1585960426804518
2010,721,1.1573600197865337
2010,722,1.1589914449609335
2010,81,1.163334371014551
2011,11,1.2345975116174486
2011,113,1.2887685290763968
2011,21,1.1563972166597034
2011,211,1.1729090073529411
2011,212,1.189607843137255
2011,213,1.1228527552587408
2011,22,1.3947878906632702
2011,23,1.200972391280292
2011,31-33,1.2500524186236286
2011,33,1.2417557894014042
2011,321,1.2696602889496291
2011,327,1.2404329761644435
2011,331,1.2325706930199727
2011,332,1.215754714248472
2011,333,1.2248432763339907
2011,334,1.1850791605301914
2011,335,1.3742320283420781
2011,3361,1.2475602516917963
2011,337,1.209943957465153
2011,339,1.3971732768818879
2011,313,1.2079947287502746
2011,315,1.221040011988611
2011,322,1.2343664115682211
2011,323,1.2155079461816136
2011,324,1.5023540907879542
2011,325,1.3024880555305147
